id,parent,address,pname,cityname,type,typecode,shopinfo,childtype,adname,name,location,tel,lng,lat
B0250041BK,[],西提东路49号,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,海湾公园,"118.076308,24.473060",0592-5907909,118.076308,24.473060
B025003QZU,[],思明南路515号,福建省,厦门市,风景名胜;风景名胜;寺庙道观,110205,2,[],思明区,南普陀寺,"118.096582,24.440987",0592-2087282,118.096582,24.440987
B025003YN2,[],晃岩路35-6号,福建省,厦门市,风景名胜;风景名胜;国家级景点,110202,2,[],思明区,厦门市鼓浪屿风景名胜区,"118.067020,24.444695",[],118.067020,24.444695
B0FFF0DUAW,[],大学路,福建省,厦门市,风景名胜;风景名胜;海滩,110208,2,[],思明区,白城沙滩,"118.102892,24.432104",[],118.102892,24.432104
B0250043IH,[],公园南路(中山公园地铁站3A口步行420米),福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,中山公园,"118.090086,24.459141",0592-2910888,118.090086,24.459141
B0FFH7U2NV,[],厦门大学内,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],思明区,芙蓉隧道,"118.104543,24.435716",[],118.104543,24.435716
B025003OPX,B0FFFZ5L0I,虎园路25号,福建省,厦门市,风景名胜;公园广场;植物园,110103,2,601,思明区,厦门园林植物园,"118.109629,24.447900",0592-2985935,118.109629,24.447900
B02500SK4B,[],虎园路25-111号,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],思明区,钟鼓索道,"118.094162,24.452775",0592-2039368,118.094162,24.452775
B02500414M,[],白鹭洲路,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,厦门白鹭洲公园,"118.093828,24.473704",[],118.093828,24.473704
B0250043MY,[],思明南路331号,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,鸿山公园,"118.086731,24.447105",0592-2025696,118.086731,24.447105
B02500442R,[],集美学村地铁站出入口步行320米,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],集美区,十里长堤,"118.093290,24.561987",[],118.093290,24.561987
B0FFF755EX,[],石塘村水头新村,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],海沧区,大屏山郊野公园,"118.056927,24.496878",[],118.056927,24.496878
B0FFGA8JPX,[],观光旅游大道,福建省,厦门市,风景名胜;风景名胜;海滩,110208,2,[],思明区,黄厝海滩,"118.161900,24.442614",[],118.161900,24.442614
B025004CYN,[],仙岳路396-398号,福建省,厦门市,风景名胜;公园广场;城市广场,110105,2,[],思明区,厦门五一广场,"118.111252,24.490664",[],118.111252,24.490664
B025004OAI,[],沧林东路与海沧大道交叉口,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],海沧区,海沧湾公园,"118.054462,24.488050",[],118.054462,24.488050
B0250043NC,[],湖光路7-21号,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,南湖公园,"118.106958,24.478255",[],118.106958,24.478255
B025003H30,[],东渡路127-17号,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],湖里区,厦门海沧大桥旅游区,"118.081647,24.493278",[],118.081647,24.493278
B025003Y1L,[],兴隆路23号,福建省,厦门市,风景名胜;风景名胜;纪念馆,110204,2,[],湖里区,厦门经济特区纪念馆,"118.097351,24.509006",0592-5628032;0592-5633591,118.097351,24.509006
B0FFH1VLKT,[],演武大桥与演武路交叉口西南150米,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],思明区,演武大桥观景平台,"118.091109,24.433264",[],118.091109,24.433264
B025003JXK,[],金尚路77号(蔡塘地铁站2号口步行400米),福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],湖里区,忠仑公园,"118.150352,24.483570",0592-5971178,118.150352,24.483570
B02500SJOY,[],云顶岩路与金鸡南路交叉处,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,东坪山公园,"118.144140,24.456507",18650133586,118.144140,24.456507
B0250043LJ,[],湖里工业区牛公岭山麓华泰路32号,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],湖里区,湖里公园,"118.106398,24.504475",0592-6037092,118.106398,24.504475
B02500TPS9,[],天安路与霞梧路交叉口,福建省,厦门市,风景名胜;公园广场;城市广场,110105,2,[],集美区,霞梧广场,"118.104899,24.594374",[],118.104899,24.594374
B025000E32,[],厦禾路与金榜路交叉口西南200米,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,金榜公园,"118.114871,24.462599",0592-5851509,118.114871,24.462599
B0FFF3DPIG,[],银江路183号(集美学村地铁站出入口步行350米),福建省,厦门市,科教文化服务;学校;学校|风景名胜;风景名胜;风景名胜,141200|110200,2,[],集美区,集美学村,"118.092809,24.566133",[],118.092809,24.566133
B0250043LT,[],湖滨中路东方丽景西侧,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,狐尾山公园,"118.086277,24.483896",0592-5611171,118.086277,24.483896
B0250043N3,[],湖滨南路210号,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,嘉禾园,"118.099507,24.472168",[],118.099507,24.472168
B025000BC5,[],曾厝垵路2号,福建省,厦门市,风景名胜;风景名胜;国家级景点,110202,2,[],思明区,胡里山炮台,"118.106383,24.429475",0592-2088313,118.106383,24.429475
B0250043HO,[],屿后南里24-25号(吕厝地铁站1号口步行440米),福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,松柏公园,"118.124028,24.491142",[],118.124028,24.491142
B0250043S7,[],集杏海堤东段园博园景区管理处,福建省,厦门市,风景名胜;风景名胜;国家级景点,110202,2,[],集美区,厦门园林博览苑,"118.073072,24.582621",0592-6220908;0592-6259258;0592-6259200,118.073072,24.582621
B025004CUF,[],环岛干道,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],湖里区,五缘湾湿地公园,"118.178726,24.516443",[],118.178726,24.516443
B02500SK69,[],林后社200号,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],湖里区,林后青龙宫,"118.138667,24.526925",[],118.138667,24.526925
B0FFIJOHUF,[],滨湖北路与东屿北路交汇处,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],海沧区,厦门儿童公园,"118.038701,24.486144",[],118.038701,24.486144
B02500V28J,[],帝景苑一期湖滨南路1号,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],思明区,筼筜湖,"118.094224,24.475764",[],118.094224,24.475764
B0FFF3NQIZ,[],环岛路沿线海滩,福建省,厦门市,风景名胜;风景名胜;海滩,110208,2,[],湖里区,环岛路海滩,"118.199102,24.505883",[],118.199102,24.505883
B0250043IT,[],阳顺路8号,福建省,厦门市,风景名胜;风景名胜;寺庙道观,110205,2,[],海沧区,石室禅院,"118.022315,24.515358",0592-5817737,118.022315,24.515358
B0FFHDMYCO,B0FFF37I7X,环岛东路,福建省,厦门市,风景名胜;风景名胜;海滩,110208,2,301,思明区,观音山沙滩,"118.199506,24.493697",[],118.199506,24.493697
B0250033BH,[],凌香里7号(吕厝地铁站12号口步行390米),福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,莲花公园,"118.128494,24.485598",0592-5535758,118.128494,24.485598
B02500442P,[],鳌园路19号,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],集美区,龙舟池,"118.098178,24.565308",[],118.098178,24.565308
B025004RIJ,[],东孚镇洪塘村天竺山路1号,福建省,厦门市,风景名胜;风景名胜;国家级景点,110202,2,[],海沧区,天竺山森林公园,"117.917172,24.599970",0592-6311965;0592-6380609,117.917172,24.599970
B0FFG1AB0Q,[],后溪镇华夏路9号,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],集美区,厦门老院子景区,"118.075184,24.623793",0592-6661072;0592-6661070,118.075184,24.623793
B0HRKRH4X0,[],鹭江道,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,海滨公园,"118.072188,24.456511",[],118.072188,24.456511
B0FFF5VBIK,[],江头西路与屿浦路交汇处东边(近喜来登酒店),福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],湖里区,江头公园,"118.130001,24.495830",0592-5503033,118.130001,24.495830
B0FFFYFCXG,[],马青路地铁站1号口步行390米,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],海沧区,蔡尖尾山公园,"118.030531,24.496718",[],118.030531,24.496718
B0FFK7L16D,[],杏滨街道新阳大道与霞光北路交叉口西北角,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],海沧区,马銮湾环湾带状公园,"118.022565,24.537242",[],118.022565,24.537242
B0FFG20A2B,[],商业区环岛干道,福建省,厦门市,风景名胜;风景名胜;海滩,110208,2,[],湖里区,五缘湾沙滩,"118.171013,24.529622",[],118.171013,24.529622
B0250043RA,[],海沧台商投资区马青路青礁村岐山东鸣岭,福建省,厦门市,风景名胜;风景名胜;寺庙道观,110205,2,[],海沧区,青礁慈济祖宫,"117.973240,24.485831",0592-6881818,117.973240,24.485831
B0FFJ4D2FZ,B0H1VAQI5H,新阳街道霞阳村中路1号,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,324,海沧区,霞阳大榕树,"118.019405,24.532209",[],118.019405,24.532209
B025003YAE,[],怡鹭大厦对面,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],湖里区,仙岳公园,"118.103469,24.498157",0592-5122647,118.103469,24.498157
B0FFKLPEON,[],火炬大桥,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],翔安区,下潭尾滨海湿地公园,"118.200342,24.650725",[],118.200342,24.650725
B0FFGT9658,[],大元路22号,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],思明区,老城微展馆,"118.076634,24.456686",[],118.076634,24.456686
B02500TPWK,[],灌口镇黄庄村,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],集美区,灌口镇风景湖公园,"117.991175,24.602136",[],117.991175,24.602136
B0FFGA7NKA,[],海裕路(海沧行政中心地铁站2号口步行90米),福建省,厦门市,风景名胜;公园广场;城市广场,110105,2,[],海沧区,市民广场,"118.031039,24.486164",[],118.031039,24.486164
B0FFIQ0ZWU,[],西柯镇滨海西大道与观浪路交叉口东北侧,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],同安区,美峰体育公园,"118.141531,24.612169",[],118.141531,24.612169
B02500S4EW,[],前埔北区一里,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,前埔健身公园,"118.169923,24.473545",[],118.169923,24.473545
B02500QFK8,[],湖滨西路35号,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,鹭江社区公园,"118.077944,24.464578",[],118.077944,24.464578
B02500S5YS,[],思明南路439号(万石湖西北面),福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,铁路文化公园,"118.086824,24.445089",[],118.086824,24.445089
B025004EDQ,[],滨海街道环岛南路318号,福建省,厦门市,风景名胜;公园广场;城市广场,110105,2,[],思明区,音乐广场,"118.129520,24.423726",[],118.129520,24.423726
B0FFF671BH,[],香山路,福建省,厦门市,风景名胜;公园广场;公园|风景名胜;风景名胜;国家级景点,110101|110202,2,[],翔安区,香山郊野公园,"118.298838,24.627014",[],118.298838,24.627014
B0FFKULV0T,[],蔡尖尾山,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],海沧区,蔡尖尾山天语舟气象公园,"118.009331,24.504074",[],118.009331,24.504074
B0FFFE8PYG,[],厦门大桥桥下,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],湖里区,厦门海堤纪念公园(建设中),"118.108670,24.549849",0592-2654114,118.108670,24.549849
B025004MQU,[],寨上村2089号,福建省,厦门市,风景名胜;风景名胜;教堂,110206,2,[],湖里区,基督教寨上堂,"118.103267,24.524041",0592-5626686,118.103267,24.524041
B0FFHYHOW6,[],环岛东路1015号,福建省,厦门市,风景名胜;风景名胜;海滩,110208,2,[],思明区,会展中心沙滩,"118.187246,24.464707",[],118.187246,24.464707
B0FFFRKEU7,[],殿前三路6122-8号,福建省,厦门市,风景名胜;风景名胜;寺庙道观,110205,2,[],湖里区,清水宫,"118.113566,24.528896",[],118.113566,24.528896
B0FFJAXMBV,[],鳌园路24号,福建省,厦门市,风景名胜;风景名胜;国家级景点,110202,2,[],集美区,集美鳌园景区,"118.107329,24.568522",0592-6064884,118.107329,24.568522
B025004RJW,[],轮三路339号,福建省,厦门市,风景名胜;风景名胜;国家级景点,110202,2,[],同安区,厦门同安影视城,"118.165286,24.744326",0592-7302779;0592-7302870,118.165286,24.744326
B0FFITC6UE,[],曾厝垵国办街旁,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],思明区,曾厝垵牌坊,"118.125368,24.425082",[],118.125368,24.425082
B02500SK2U,[],思明南路422号厦门大学,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],思明区,环岛路木栈道,"118.105125,24.430477",[],118.105125,24.430477
B0FFMCF49J,[],滨水中三路与滨水路交叉口西南260米,福建省,厦门市,风景名胜;公园广场;城市广场,110105,2,[],集美区,水秀广场,"118.080897,24.597026",[],118.080897,24.597026
B0GRTLFPQN,[],谊爱路102-3号,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,第七区体育公园,"118.139165,24.484510",18030178387,118.139165,24.484510
B02500T52T,B0FFF37I7X,环岛东路商业街17号,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,301,思明区,观音山巨鹏飞梦幻海岸,"118.198769,24.497705",0592-5888863;4008807677,118.198769,24.497705
B0FFG829CD,[],[],福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],集美区,白虎岩,"118.011998,24.662852",[],118.011998,24.662852
B0FFGJ3CMQ,B025004C4L,环岛东路香山国际游艇会南门入口处,福建省,厦门市,风景名胜;公园广场;植物园,110103,2,301,思明区,海天帆船出海看金门(香山店),"118.194778,24.476524",18850516260,118.194778,24.476524
B02500QG8R,[],仙岳路与环岛东路交汇处附近,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],湖里区,五通灯塔公园,"118.193049,24.523772",[],118.193049,24.523772
B0FFJ2W28I,[],天湖路2-101西北方向100米,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],思明区,筼筜湖带状公园,"118.089587,24.475105",[],118.089587,24.475105
B0FFF4J53P,[],火炬园地铁站3号口步行350米,福建省,厦门市,风景名胜;公园广场;城市广场,110105,2,[],湖里区,马垅文化广场,"118.116372,24.513824",[],118.116372,24.513824
B0IUM7CW7M,[],台湾街340号,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],湖里区,江头文体公园,"118.134079,24.497725",[],118.134079,24.497725
B0FFG8X9ZE,[],下苏巷260号,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],翔安区,渡桥公园,"118.247361,24.661216",[],118.247361,24.661216
B0250043OC,B0FFLM44H0,422县道,福建省,厦门市,风景名胜;风景名胜;寺庙道观,110205,2,301,同安区,西山岩寺,"118.095431,24.711305",[],118.095431,24.711305
B02500422H,B025003YN2,鹭江道15号,福建省,厦门市,风景名胜;风景名胜;海滩,110208,2,301,思明区,厦门市鼓浪屿风景名胜区-鼓浪屿沙滩,"118.063015,24.441507",[],118.063015,24.441507
B0250043RZ,[],杏林日东二路288号,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],集美区,日东公园,"118.035587,24.561657",[],118.035587,24.561657
B02500THQ3,B025003OPX,虎园路25号厦门园林植物园内(西侧),福建省,厦门市,风景名胜;公园广场;植物园,110103,2,301,思明区,雨林世界,"118.097876,24.449714",[],118.097876,24.449714
B025003XDJ,[],虎园路5号,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],思明区,虎溪岩,"118.091434,24.449715",0592-2021732;0592-2121799,118.091434,24.449715
B02500493B,[],东林路199号(近建发物流),福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],集美区,古榕公园,"118.109017,24.604158",[],118.109017,24.604158
B0FFFYDOOF,[],建材MALL商圈祥岭路178号,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],湖里区,薛岭山公园,"118.145852,24.505594",[],118.145852,24.505594
B02500SK51,[],天泉路1号,福建省,厦门市,风景名胜;风景名胜;寺庙道观,110205,2,[],思明区,太清宫,"118.132089,24.425032",0592-2092459,118.132089,24.425032
B02500SXF2,[],美仁前社101号,福建省,厦门市,风景名胜;风景名胜;寺庙道观,110205,2,[],思明区,美仁宫,"118.091352,24.463424",[],118.091352,24.463424
B025003Z0N,[],海山路74号,福建省,厦门市,风景名胜;公园广场;公园广场,110100,2,[],湖里区,东荣广场,"118.084100,24.487262",[],118.084100,24.487262
B0FFFSA9Q1,[],南门路10号钟楼安置房,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,[],同安区,同安钟楼,"118.151950,24.730468",[],118.151950,24.730468
B0FFK33NH5,[],环岛南路辅路与塔头中路交叉口东南380米,福建省,厦门市,风景名胜;风景名胜;海滩,110208,2,[],思明区,黄厝沙滩,"118.147994,24.431087",[],118.147994,24.431087
B0FFF4IT0D,B025003YN2,鼓声路5号鼓浪屿·贝壳博物馆,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,301,思明区,贝壳梦幻世界,"118.064019,24.441232",0592-2066851,118.064019,24.441232
B0FFH89ER2,B0250043LT,狐尾山路与凤凰山庄交叉口西北220米,福建省,厦门市,风景名胜;风景名胜;风景名胜,110200,2,301,思明区,狐尾山公园-观景台,"118.086136,24.481392",[],118.086136,24.481392
B025004OB7,[],顶曾路360号,福建省,厦门市,风景名胜;公园广场;城市广场,110105,2,[],翔安区,厦门翔安法治文化广场,"118.247963,24.626044",[],118.247963,24.626044
B0FFK80XZQ,[],官塘路,福建省,厦门市,风景名胜;公园广场;公园,110101,2,[],海沧区,三江口温泉湿地公园,"117.945983,24.561489",[],117.945983,24.561489
