id,parent,address,pname,cityname,type,parking_type,typecode,shopinfo,childtype,adname,name,location,tel,lng,lat
B0FFG7BUXL,[],祥店二路与祥店路交叉口南60米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],湖里区,停车场(刘厝定安宫戏台西北),"118.144646,24.500584",[],118.144646,24.500584
B0FFHFS25V,[],杏林西路与永兴北路交叉口西220米,福建省,厦门市,交通设施服务;停车场;公共停车场,,150904,2,[],集美区,停车场,"118.022473,24.565234",[],118.022473,24.565234
B0FFG7ICCI,[],杏林联发杏林工业园(杏美路南),福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],集美区,厦门联发杏林工业园停车场,"118.031287,24.571884",[],118.031287,24.571884
B0250042LS,B0250040N1,禾祥东路67之17号附近,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,思明区,皓晖花园停车场,"118.114866,24.472829",[],118.114866,24.472829
B0FFGXHH6P,[],环岛南路辅路与悦月路交叉口东北160米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],思明区,环岛路北侧辅道停车场,"118.168502,24.448438",[],118.168502,24.448438
B0FFFTAFD0,[],碧溪路与凤山路交叉口西南80米,福建省,厦门市,交通设施服务;停车场;公共停车场,其它,150904,2,[],同安区,地下停车场(碧溪路),"118.155405,24.728037",[],118.155405,24.728037
B02500QJRB,[],环岛东路与钟宅路交叉口东南280米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,[],湖里区,停车场(星光海湾北),"118.174921,24.539433",[],118.174921,24.539433
B0FFG6515J,B02500442E,大同街道凤碧路凤凰城(厦航同城湾附近),福建省,厦门市,交通设施服务;停车场;公共停车场,地下,150904,2,305,同安区,凤凰城停车场,"118.162618,24.721214",[],118.162618,24.721214
B0FFHNJGC2,B0FFG525O4,兑英路厦门市农村商业银行(英村支行)西南侧约220米,福建省,厦门市,交通设施服务;停车场;公共停车场,地面,150904,2,305,集美区,英埭头游泳馆停车场,"118.083976,24.614401",[],118.083976,24.614401
B0FFGC3S3T,[],新景路与新阳路交叉口北140米,福建省,厦门市,交通设施服务;停车场;路边停车场,路边,150906,2,[],海沧区,停车场(正顺花园北),"117.995039,24.526672",[],117.995039,24.526672
