id,parent,address,pname,cityname,type,typecode,shopinfo,childtype,adname,name,location,tel,lng,lat,grade
B0FFIR974G,[],天马路何山埔94号,福建省,厦门市,住宿服务;住宿服务相关;住宿服务相关,100000,1,[],集美区,厦门天然居快捷酒店,"118.089137,24.628728",18150092336,118.089137,24.628728,6.1
B0FFIC7S1D,[],禾山街道围里社628号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,[],湖里区,厦门易居公寓,"118.145262,24.527507","13023982279;+862126137886,4122378",118.145262,24.527507,5.6
B0FFIIIWHN,[],后溪镇珩山一里1-13号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,[],集美区,驿起酒店(厦门北站店),"118.079913,24.637006",0592-6375666,118.079913,24.637006,7.4
B02500QLL9,[],乐安东里19号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,[],集美区,诚都商务酒店,"118.100553,24.585577",0592-3800800;0592-6211205,118.100553,24.585577,7.4
B02500QJ09,[],杏林文康路377号,福建省,厦门市,住宿服务;宾馆酒店;经济型连锁酒店,100105,0,[],集美区,锦江之星(厦门集美杏林店),"118.053367,24.566894",0592-6373999,118.053367,24.566894,7.4
B0FFH0R6AH,[],曾厝埯458号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,[],思明区,厦门椰海风情客栈,"118.125672,24.428534",15345987688,118.125672,24.428534,7.4
B02500VMHE,[],殿前六路37号,福建省,厦门市,住宿服务;宾馆酒店;经济型连锁酒店,100105,0,[],湖里区,汉庭酒店(厦门机场店),"118.106267,24.528078",0592-6111188,118.106267,24.528078,7.4
B0FFF362WK,B0FFLFBWRR,曾厝埯472号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,1,324,思明区,晓风设计师名宿,"118.125926,24.428950",0592-2518260,118.125926,24.42895,5.1
B02500TBYM,B02500QJHL,厦禾路1130号之5京华大厦26层,福建省,厦门市,住宿服务;宾馆酒店;经济型连锁酒店,100105,0,202,思明区,7天连锁酒店(厦门火车站店),"118.120983,24.473631",0592-3997777;0592-7533777,118.120983,24.473631,9
B0FFKSVRUB,[],曾厝垵东宅3号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,[],思明区,厦门过客臻品美宿,"118.118774,24.436478",18059883275,118.118774,24.436478,8
B0FFF60CJQ,[],马巷镇池王宫2000号,福建省,厦门市,住宿服务;宾馆酒店;经济型连锁酒店,100105,0,[],翔安区,锦江之星(厦门马巷店),"118.250183,24.670492",0592-6383999,118.250183,24.670492,5
B02500VCFS,B025003IUP,中山路110-132号顺丰快递隔壁上斜坡走到底,福建省,厦门市,住宿服务;旅馆招待所;青年旅舍|住宿服务;宾馆酒店;宾馆酒店,100201|100100,1,324,思明区,考拉国际青年酒店(厦门中山路轮渡店),"118.077728,24.452749",0592-2025359;0592-2561088,118.077728,24.452749,4
B0G3KRNQCB,[],鹭江街道97-99号,福建省,厦门市,住宿服务;宾馆酒店;宾馆酒店,100100,1,[],思明区,厦门讴印庭院酒店(厦鼓码头白鹭洲店),"118.074844,24.465772",18150387827,118.074844,24.465772,5
B0FFFQTJ8P,B025003YN2,福州路60号,福建省,厦门市,住宿服务;旅馆招待所;旅馆招待所,100200,0,302,思明区,厦门初夏度假旅馆,"118.069436,24.447462",0592-2564477,118.069436,24.447462,7
