id,parent,address,pname,cityname,type,typecode,shopinfo,childtype,adname,name,location,tel,lng,lat
B0FFL7EOCL,B025003ALO,湖滨北路中信惠扬57-3,福建省,厦门市,泰国菜,50206,1,202,Siming District,坤泰坊泰国餐厅(中信惠扬商务楼店),"118.086039,24.478454",18650480099,118.086039,24.478454
B0250042DN,B025003W7Z,湖滨北路海湾新城一期一号楼一层(建业路地铁站1A口旁),福建省,厦门市, 快餐厅,50301,0,320,Siming District,肯德基(滨北餐厅),"118.083467,24.478340",4008823823,118.083467,24.47834
B0FFJD3URF,[],湖滨北路凤凰山庄26号,福建省,厦门市,福建菜,50110,0,[],Siming District,取舍Tripsay house,"118.086210,24.479799",0592-7291026,118.08621,24.479799
B025004B16,B0250043P9,建业路16号阳明楼1楼B单元,福建省,厦门市,广东菜,50103,0,202,Siming District,鹿港小镇(滨北店),"118.084156,24.476605",0592-6577333,118.084156,24.476605
B025004N9E,[],白鹭洲东路1号天鹅广场A座(原若亚天鹅酒店旁),福建省,厦门市,海鲜,50119,1,[],Siming District,舒友海鲜大酒楼(白鹭洲旗舰店),"118.092341,24.473930",0592-5096868;0592-5330888,118.092341,24.47393
B025002RQW,[],石亭路17-114号,福建省,厦门市,四川菜,50102,1,[],Siming District,杨红川菜,"118.091874,24.480505",0592-5048631;0592-8321493,118.091874,24.480505
B0HDPMICI7,[],官任路2-20号,福建省,厦门市,墨西哥菜,50216,0,[],Siming District,Coyote墨西哥餐厅,"118.086083,24.475691",0592-5080737;18020725369,118.086083,24.475691
B0FFK9RXWG,[],官任路酒吧一条街2-18,福建省,厦门市,中餐,50100,0,[],Siming District,阿季海鲜酒食(官任店),"118.086221,24.475741",17350870709;19906018249,118.086221,24.475741
B0HU15C3OD,[],官任路2-21号,福建省,厦门市,综合,50201,1,[],Siming District,燃餐厅RAN THE CHEF'S TABLE,"118.086264,24.475706",18046238082,118.086264,24.475706
B02500TKE3,B025002TZA,湖滨北路44号种子大厦1层,福建省,厦门市,中餐,50100,0,202,Siming District,农夫美食(种子大厦店),"118.085923,24.477961",0592-5332989,118.085923,24.477961
B0I2HC3QJH,B0250041GZ,官任路38-11号(建业路地铁站4号口步行310米),福建省,厦门市,广东菜,50103,0,320,Siming District,官任38-11,"118.086024,24.476797",[],118.086024,24.476797
B0H6FM1MM0,[],官任路2-6号(建业路地铁站4号口步行410米),福建省,厦门市,快餐,50208,0,[],Siming District,PAPA·DE·PIZZA,"118.085111,24.475584",17350021090,118.085111,24.475584
B0FFFQ5VBL,[],石亭路109-2号(湖滨中路地铁站1号口步行90米),福建省,厦门市, 快餐,50300,1,[],Siming District,杨铭宇黄焖鸡米饭(滨北店),"118.093814,24.480563",13675001944;15160035780,118.093814,24.480563
B02500RVGT,B0250018SL,湖滨北路19号厦门泛太平洋大酒店3层,福建省,厦门市, 综合,50201,0,312,Siming District,厦门泛太平洋大酒店凯撒西餐厅,"118.082274,24.478495",0592-5078888;0592-5113833,118.082274,24.478495
B025004B13,B0250041BE,筼筜路3-9号,福建省,厦门市,美式,50208,0,320,Siming District,老别墅西餐馆(西堤路店),"118.083057,24.474616",0592-5033377;0592-5095252,118.083057,24.474616
B02500SXNK,[],湖滨北路振兴新村29号(外国语学校对面),福建省,厦门市,快餐,50300,0,[],Siming District,千尊比萨(滨北店),"118.092779,24.478425",0592-5106685;0592-5106686,118.092779,24.478425
B02500414S,[],湖滨北路97号(加油站对面),福建省,厦门市,中餐,50100,0,[],Siming District,阿伟排档(滨北店),"118.095825,24.481109",0592-5335522;18950006917,118.095825,24.481109
B02500RSYQ,B025000630,建业路8号厦门马哥孛罗东方大酒店2层,福建省,厦门市,日本菜,50202,0,202,Siming District,将军日本餐厅,"118.084641,24.475071",0592-5091888,118.084641,24.475071
B0FFJE28RZ,[],官任路5-8号(建业路地铁站4号口步行450米),福建省,厦门市,快餐,080304|050300|080500,0,[],Siming District,FAN ZONE,"118.085658,24.475726",[],118.085658,24.475726
B025003I0T,B0250041BE,筼筜路3-4号(马可孛罗酒店旁),福建省,厦门市,中餐,050500|050100,0,320,Siming District,厚海咖啡(西堤店),"118.082808,24.474604",0592-5311212,118.082808,24.474604
B0FFGDDC5Z,B0FFLA8D0H,湖滨北路15号外贸大厦1层,福建省,厦门市,海鲜,50119,0,202,Siming District,海鼎荟海鲜姿造(厦门滨北店),"118.080435,24.478158",0592-2367555,118.080435,24.478158
B025003I0U,[],筼筜路2-4号东卉花园,福建省,厦门市,中餐,080304|050100,0,[],Siming District,真爱音乐酒吧·川味私房菜,"118.086038,24.474484",[],118.086038,24.474484
